PlanId,BenefitName,Copay,Deductible,Coinsurance,CoverageLevel
932,Prescription,47.22805786897905,3120.6304676385234,20%,Family
571,Physical Therapy,22.087753840032885,1162.2029798345568,12%,Family
976,Dental,44.38302468447915,2014.1313305870215,11%,Individual
13,Prescription,33.659129187616465,3679.5474364800307,18%,Individual
452,Vision,40.08373991535177,2271.31208980846,30%,Family
905,Physical Therapy,18.547772596772482,2950.279731569535,17%,Individual
358,Mental Health,46.061324387978935,2592.3737946939596,21%,Individual
214,Prescription,29.340370883525683,802.169207745098,11%,Individual
603,Mental Health,27.758181046334233,3096.950021207068,21%,Family
464,Dental,21.237405317576513,2712.5055278156233,13%,Individual
602,Specialist,15.109837516337986,4637.4392680880355,15%,Family
263,Mental Health,15.460432195139738,3236.7790550526447,29%,Family
758,Primary Care,22.191956839898452,1835.784070645021,21%,Family
646,Vision,37.73977981200885,2379.359572766304,28%,Family
888,Primary Care,40.38793519597769,3162.483817581298,12%,Individual
776,Specialist,18.401064378749737,4231.318703175909,16%,Individual
947,Dental,18.24251755369712,1754.107437977501,12%,Family
524,Prescription,23.992825144624696,2172.887490024702,10%,Individual
18,Dental,18.51033311113577,4622.188877256234,26%,Individual
738,Primary Care,45.80813766562099,3301.6738553151085,19%,Family
758,Specialist,14.503785084990323,3929.386831705864,14%,Individual
902,Specialist,17.641455613829358,3734.808745549071,27%,Family
141,Emergency,15.351288866948373,2648.9948746806826,19%,Individual
731,Primary Care,10.721615945004018,1216.7686546446635,16%,Individual
616,Physical Therapy,30.985204184342912,4553.8264123260715,14%,Family
15,Physical Therapy,32.859631124092644,4051.4517882383366,10%,Individual
22,Physical Therapy,43.51003812559131,4320.698847153537,26%,Family
339,Mental Health,12.677810462781277,783.049752973687,26%,Individual
454,Primary Care,48.16603613605638,4117.119219460432,11%,Individual
651,Specialist,26.524334341934296,3002.5784046431354,12%,Individual
103,Physical Therapy,33.28436950967142,3453.9507246968496,26%,Family
465,Physical Therapy,25.737258617976625,2052.8653865024053,23%,Family
814,Mental Health,28.429165906506796,4563.733476692374,14%,Individual
665,Physical Therapy,41.346622040660364,2570.909692920609,26%,Family
747,Dental,38.115901866636364,3458.6868270317123,29%,Family
866,Mental Health,46.61501544635909,1486.3296367857233,29%,Individual
460,Vision,32.66298691684782,1691.8670782158867,30%,Individual
693,Dental,22.54630503070867,1462.2433377335406,17%,Individual
109,Vision,39.58593237852004,4424.342557157323,30%,Individual
18,Specialist,18.436657465925403,3440.1281035701772,12%,Family
