StateCode,StandardComponentId,TwoParentFamilyMaxDependentsRule,SingleParentFamilyMaxDependentsRule,DependentMaximumAgRule,ChildrenOnlyContractMaxChildrenRule,DomesticPartnerAsSpouseIndicator,SameSexPartnerAsSpouseIndicator,MinimumTobaccoFreeMonthsRule,MarketCoverage,DentalOnlyPlan
AL,82285AL0010006,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,82285AL0020001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,82285AL0020002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,82285AL0020004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,82285AL0020006,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AZ,17100AZ0160001,3 or more,3 or more,21,3 or more,No,No,Not Applicable,,
AZ,30045AZ0010001,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,,
AZ,30045AZ0010002,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,,
AZ,30045AZ0010003,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,30045AZ0010004,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,53901AZ0540002,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0540003,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0540004,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0550001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0550002,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0550003,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0550004,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0560001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0560002,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0560003,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0560004,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0570001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0580001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0580002,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0730001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0730002,3 or more,3 or more,29,3 or more,No,No,6,,
AK,74819AK0010001,,,Not Applicable,3 or more,,,Not Applicable,,
AK,74819AK0010002,,,Not Applicable,3 or more,,,Not Applicable,,
AK,74819AK0020001,,,Not Applicable,3 or more,,,Not Applicable,,
AK,74819AK0020002,,,Not Applicable,3 or more,,,Not Applicable,,
AK,74819AK0010003,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AK,74819AK0010004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AK,74819AK0010005,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AK,74819AK0010006,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AK,74819AK0020003,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AK,74819AK0020004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AK,74819AK0020005,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AK,74819AK0020006,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AL,12538AL0010001,,,Not Applicable,3 or more,,,Not Applicable,,
AL,12538AL0010002,,,Not Applicable,3 or more,,,Not Applicable,,
AL,12538AL0020001,,,Not Applicable,3 or more,,,Not Applicable,,
AL,12538AL0020002,,,Not Applicable,3 or more,,,Not Applicable,,
AL,12538AL0010003,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AL,12538AL0010004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AL,12538AL0010005,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AL,12538AL0010006,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AL,12538AL0020003,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AL,12538AL0020004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AL,12538AL0020005,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AL,12538AL0020006,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AL,44785AL0090001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,44785AL0100001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,44785AL0040002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,44785AL0020002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,44785AL0010002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,44785AL0030002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,44785AL0080002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,44785AL0060002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,44785AL0050002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,44785AL0070002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,77233AL0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,77233AL0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,77233AL0010004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,77233AL0010006,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,77233AL0020001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,77233AL0020002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,77233AL0020004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,77233AL0020006,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AL,82285AL0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,82285AL0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AL,82285AL0010004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AZ,17100AZ0170001,3 or more,3 or more,21,3 or more,No,No,Not Applicable,,
AZ,30045AZ0010009,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,,
AZ,30045AZ0010010,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,,
AZ,30045AZ0010011,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,30045AZ0010012,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,30045AZ0020001,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,,
AZ,30045AZ0020002,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,,
AZ,30045AZ0020003,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,30045AZ0020004,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,30045AZ0020009,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,,
AZ,30045AZ0020010,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,,
AZ,30045AZ0020011,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,30045AZ0020012,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,33851AZ0010001,2,2,Not Applicable,3 or more,No,No,Not Applicable,,
GA,50988GA0040001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
GA,50988GA0020001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
NJ,99708NJ0120004,,,,3 or more,,,,,
NJ,99708NJ0120001,,,,3 or more,,,,,
NJ,99708NJ0130006,,,,3 or more,,,,,
NJ,99708NJ0130005,,,,3 or more,,,,,
NJ,99708NJ0130011,,,,3 or more,,,,,
NJ,99708NJ0130012,,,,3 or more,,,,,
NJ,99708NJ0140002,,,,3 or more,,,,,
NJ,99708NJ0140001,,,,3 or more,,,,,
NJ,99708NJ0140004,,,,3 or more,,,,,
NJ,99708NJ0140003,,,,3 or more,,,,,
NJ,99708NJ0130008,,,,3 or more,,,,,
NJ,99708NJ0130007,,,,3 or more,,,,,
OH,34968OH0150001,3 or more,3 or more,21,3 or more,No,No,Not Applicable,,
OH,34968OH0160001,3 or more,3 or more,21,3 or more,No,No,Not Applicable,,
OK,40254OK0010001,,,Not Applicable,3 or more,,,Not Applicable,,
OK,40254OK0010002,,,Not Applicable,3 or more,,,Not Applicable,,
OK,40254OK0020001,,,Not Applicable,3 or more,,,Not Applicable,,
OK,40254OK0020002,,,Not Applicable,3 or more,,,Not Applicable,,
OK,40254OK0010003,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
OK,40254OK0010004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
OK,40254OK0010005,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
OK,40254OK0010006,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AR,60559AR0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,Yes
AR,60559AR0010003,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,Yes
AR,60559AR0020003,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
AR,60559AR0010004,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,Yes
AR,60559AR0020004,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
AR,60559AR0010005,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,Yes
TX,97937TX0120002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
TX,97937TX0040002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
TX,97937TX0100002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
TX,97937TX0020002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
TX,97937TX0090002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
TX,97937TX0010002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
TX,97937TX0110002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
GA,55612GA0160001,3 or more,3 or more,21,3 or more,No,No,Not Applicable,,
GA,55612GA0170001,3 or more,3 or more,21,3 or more,No,No,Not Applicable,,
AZ,77352AZ0020004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
FL,97725FL0040006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,99787FL0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,99787FL0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,99787FL0010004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,99787FL0010006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,99787FL0020001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,99787FL0020002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,99787FL0020004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,99787FL0020006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
GA,28167GA0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
GA,28167GA0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
GA,28167GA0010004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
GA,28167GA0010006,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
GA,28167GA0020001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
GA,28167GA0020002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
GA,28167GA0020004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
MS,11324MS0010003,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
MS,11324MS0010004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
MS,11324MS0010005,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
MS,11324MS0010006,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
MS,11324MS0020003,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
MS,11324MS0020004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
MS,11324MS0020005,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
MS,11324MS0020006,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
MS,49374MS0020001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
MS,49374MS0020002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
MS,49374MS0020004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AZ,33851AZ0020001,2,2,Not Applicable,3 or more,No,No,Not Applicable,,
AZ,53901AZ0530001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0530002,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0530003,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0530004,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0540001,3 or more,3 or more,29,3 or more,No,No,6,,
FL,49193FL0200001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0180001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0120001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0100001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0090001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0110001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0160001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0190001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0170001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AZ,53901AZ0730003,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0730004,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0740001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0740002,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0740003,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0740004,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0750001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0750002,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0760001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0760002,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0770001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0780001,3 or more,3 or more,29,3 or more,No,No,6,,
AZ,53901AZ0790001,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,53901AZ0790002,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,53901AZ0790004,3 or more,3 or more,26,3 or more,No,No,Not Applicable,,
AZ,58292AZ0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AZ,58292AZ0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AZ,58292AZ0010004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AZ,58292AZ0010006,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AZ,58292AZ0020001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AZ,58292AZ0020002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
AZ,58292AZ0020004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AZ,58292AZ0020006,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
AZ,77352AZ0010001,,,Not Applicable,3 or more,,,Not Applicable,,
AZ,77352AZ0010002,,,Not Applicable,3 or more,,,Not Applicable,,
AZ,77352AZ0020001,,,Not Applicable,3 or more,,,Not Applicable,,
AZ,77352AZ0020002,,,Not Applicable,3 or more,,,Not Applicable,,
AZ,77352AZ0010003,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
AZ,77352AZ0010004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
