PlanId,PlanMarketingName,MetalLevel,PlanType,MarketCoverage,ChildOnlyOffering,IsHSAEligible,IsNewPlan,IsGuaranteedRate,WellnessProgramOffered,DiseaseManagementProgramsOffered,OutOfCountryCoverage,OutOfServiceAreaCoverage,SpecialistRequiringReferral,IssuerActuarialValue,StateCode,ServiceAreaId,NetworkId,StandardComponentId,DentalOnlyPlan,IsNoticeRequiredForPregnancy
1,Plan 1,Gold,PPO,Child-only,No,Yes,No,No,No,No,No,Yes,Yes,65.0%,NY,MIS001,PAN001,000001,No,No
2,Plan 2,Platinum,HMO,Child-only,Yes,Yes,No,No,No,Yes,No,Yes,No,69.9%,PA,NCS001,TXN001,000002,No,No
3,Plan 3,Gold,PPO,Child-only,No,No,Yes,Yes,Yes,No,Yes,No,No,77.8%,IL,TXS001,PAN001,000003,Yes,Yes
4,Plan 4,Platinum,EPO,Family,Yes,No,No,Yes,Yes,No,No,Yes,No,79.8%,MI,NCS001,NYN001,000004,No,No
5,Plan 5,Platinum,PPO,Individual,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,88.8%,CA,OHS001,PAN001,000005,Yes,No
6,Plan 6,Silver,HMO,Family,No,No,Yes,Yes,Yes,No,No,Yes,Yes,66.6%,MI,FLS001,NCN001,000006,Yes,No
7,Plan 7,Platinum,EPO,Family,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,84.7%,TX,ILS001,FLN001,000007,Yes,No
8,Plan 8,Gold,PPO,Individual,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,89.3%,OH,NCS001,NYN001,000008,Yes,Yes
9,Plan 9,Gold,EPO,Family,No,Yes,Yes,No,No,Yes,Yes,No,Yes,85.1%,TX,TXS001,NCN001,000009,No,Yes
10,Plan 10,Gold,HMO,Family,No,No,No,Yes,Yes,Yes,No,Yes,No,62.7%,MI,FLS001,FLN001,000010,No,No
11,Plan 11,Bronze,PPO,Individual,No,Yes,No,No,Yes,No,No,No,No,73.2%,CA,NYS001,OHN001,000011,No,Yes
12,Plan 12,Gold,HMO,Child-only,No,Yes,No,Yes,No,No,No,No,No,61.2%,NC,OHS001,NYN001,000012,Yes,No
13,Plan 13,Silver,PPO,Individual,No,No,No,Yes,Yes,No,Yes,Yes,Yes,73.3%,PA,PAS001,ILN001,000013,Yes,No
14,Plan 14,Bronze,PPO,Child-only,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,63.1%,PA,MIS001,NCN001,000014,No,No
15,Plan 15,Bronze,HMO,Child-only,No,No,No,Yes,No,No,Yes,Yes,No,76.0%,NC,MIS001,NYN001,000015,No,Yes
16,Plan 16,Bronze,HMO,Individual,No,Yes,No,No,Yes,Yes,No,Yes,No,80.7%,TX,FLS001,MIN001,000016,No,No
17,Plan 17,Silver,HMO,Child-only,Yes,Yes,No,No,No,No,Yes,No,No,68.4%,NC,MIS001,GAN001,000017,No,Yes
18,Plan 18,Bronze,EPO,Family,Yes,Yes,No,No,Yes,Yes,No,No,No,61.8%,GA,FLS001,CAN001,000018,Yes,Yes
19,Plan 19,Gold,PPO,Family,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,67.0%,NC,PAS001,TXN001,000019,Yes,Yes
20,Plan 20,Gold,EPO,Family,No,No,No,No,No,Yes,Yes,Yes,Yes,66.3%,NY,NYS001,MIN001,000020,Yes,No
21,Plan 21,Platinum,HMO,Family,No,No,Yes,Yes,No,Yes,No,No,No,75.5%,NC,CAS001,GAN001,000021,Yes,No
22,Plan 22,Gold,HMO,Family,Yes,No,Yes,No,Yes,Yes,No,No,No,80.6%,PA,TXS001,NCN001,000022,Yes,No
23,Plan 23,Bronze,PPO,Child-only,Yes,Yes,Yes,Yes,Yes,No,No,No,No,78.8%,CA,TXS001,TXN001,000023,Yes,Yes
24,Plan 24,Platinum,HMO,Individual,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,71.3%,MI,NYS001,GAN001,000024,Yes,No
25,Plan 25,Bronze,EPO,Family,Yes,No,No,No,No,Yes,Yes,No,Yes,67.2%,IL,NYS001,NYN001,000025,Yes,No
